X_um,Y_um,Z_um, ref_um_s
0,0,0,0
246,-681,-246,2000
508,-1377,-508,2000
776,-2059,-776,2000
1052,-2735,-1052,2000
1340,-3410,-1340,2000
1633,-4072,-1633,2000
1934,-4726,-1934,2000
2247,-5379,-2247,2000
2564,-6017,-2564,2000
