X_um,Y_um,Z_um
0,0,0
-238,-687,238
-474,-1401,474
-699,-2114,699
-915,-2832,915
-1125,-3562,1125
-1323,-4291,1323
-1513,-5024,1513
-1695,-5769,1695
-1866,-6511,1866
